course_id,subject,catalog_number,title,description,credits_min,credits_max,gened_attributes,career,campus,term,component,class_number,instructor_name,meeting_days,meeting_start,meeting_end,location,prereq_text,coreq_text,notes
BUS-S326,BUS,S326,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-D365,BUS,D365,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-D496,BUS,D496,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-L318,BUS,L318,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-L355,BUS,L355,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-L304,BUS,L304,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-L305,BUS,L305,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-L293,BUS,L293,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-L360,BUS,L360,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-L413,BUS,L413,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-L302,BUS,L302,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-L313,BUS,L313,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-L314,BUS,L314,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-L319,BUS,L319,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-L310,BUS,L310,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-L315,BUS,L315,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-L408,BUS,L408,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-Z448,BUS,Z448,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-Z449,BUS,Z449,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-G316,BUS,G316,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-A200,BUS,A200,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-P300,BUS,P300,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-A314,BUS,A314,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-W355,BUS,W355,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-F306,BUS,F306,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-F260,BUS,F260,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-F262,BUS,F262,,,,,,Undergraduate,IUB,,,,,,,,,,,
