course_id,subject,catalog_number,title,description,credits_min,credits_max,gened_attributes,career,campus,term,component,class_number,instructor_name,meeting_days,meeting_start,meeting_end,location,prereq_text,coreq_text,notes
BIOL-L326,BIOL,L326,,,,,,Undergraduate,IUB,,,,,,,,,,,
BIOL-L328,BIOL,L328,,,,,,Undergraduate,IUB,,,,,,,,,,,
BIOL-L350,BIOL,L350,,,,,,Undergraduate,IUB,,,,,,,,,,,
BIOL-L376,BIOL,L376,,,,,,Undergraduate,IUB,,,,,,,,,,,
BIOL-L402,BIOL,L402,,,,,,Undergraduate,IUB,,,,,,,,,,,
BIOL-L472,BIOL,L472,,,,,,Undergraduate,IUB,,,,,,,,,,,
BIOL-L474,BIOL,L474,,,,,,Undergraduate,IUB,,,,,,,,,,,
BIOL-M250,BIOL,M250,,,,,,Undergraduate,IUB,,,,,,,,,,,
BIOL-M315,BIOL,M315,,,,,,Undergraduate,IUB,,,,,,,,,,,
BIOL-M465,BIOL,M465,,,,,,Undergraduate,IUB,,,,,,,,,,,
BIOL-Z373,BIOL,Z373,,,,,,Undergraduate,IUB,,,,,,,,,,,
BIOL-Z374,BIOL,Z374,,,,,,Undergraduate,IUB,,,,,,,,,,,
BIOL-Z375,BIOL,Z375,,,,,,Undergraduate,IUB,,,,,,,,,,,
BIOL-Z406,BIOL,Z406,,,,,,Undergraduate,IUB,,,,,,,,,,,
BIOL-Z476,BIOL,Z476,,,,,,Undergraduate,IUB,,,,,,,,,,,
CHEM-A315,CHEM,A315,,,,,,Undergraduate,IUB,,,,,,,,,,,
CHEM-A316,CHEM,A316,,,,,,Undergraduate,IUB,,,,,,,,,,,
CHEM-C317,CHEM,C317,,,,,,Undergraduate,IUB,,,,,,,,,,,
CHEM-C318,CHEM,C318,,,,,,Undergraduate,IUB,,,,,,,,,,,
EAS-A315,EAS,A315,,,,,,Undergraduate,IUB,,,,,,,,,,,
EAS-A332,EAS,A332,,,,,,Undergraduate,IUB,,,,,,,,,,,
EAS-A339,EAS,A339,,,,,,Undergraduate,IUB,,,,,,,,,,,
EAS-A340,EAS,A340,,,,,,Undergraduate,IUB,,,,,,,,,,,
GEOG-G304,GEOG,G304,,,,,,Undergraduate,IUB,,,,,,,,,,,
EAS-A347,EAS,A347,,,,,,Undergraduate,IUB,,,,,,,,,,,
EAS-A364,EAS,A364,,,,,,Undergraduate,IUB,,,,,,,,,,,
EAS-A437,EAS,A437,,,,,,Undergraduate,IUB,,,,,,,,,,,
EAS-A474,EAS,A474,,,,,,Undergraduate,IUB,,,,,,,,,,,
EAS-A476,EAS,A476,,,,,,Undergraduate,IUB,,,,,,,,,,,
EAS-E225,EAS,E225,,,,,,Undergraduate,IUB,,,,,,,,,,,
EAS-E226,EAS,E226,,,,,,Undergraduate,IUB,,,,,,,,,,,
EAS-E227,EAS,E227,,,,,,Undergraduate,IUB,,,,,,,,,,,
EAS-E316,EAS,E316,,,,,,Undergraduate,IUB,,,,,,,,,,,
EAS-E330,EAS,E330,,,,,,Undergraduate,IUB,,,,,,,,,,,
EAS-E333,EAS,E333,,,,,,Undergraduate,IUB,,,,,,,,,,,
EAS-E334,EAS,E334,,,,,,Undergraduate,IUB,,,,,,,,,,,
EAS-E341,EAS,E341,,,,,,Undergraduate,IUB,,,,,,,,,,,
EAS-E351,EAS,E351,,,,,,Undergraduate,IUB,,,,,,,,,,,
EAS-E406,EAS,E406,,,,,,Undergraduate,IUB,,,,,,,,,,,
EAS-E411,EAS,E411,,,,,,Undergraduate,IUB,,,,,,,,,,,
EAS-E412,EAS,E412,,,,,,Undergraduate,IUB,,,,,,,,,,,
EAS-E415,EAS,E415,,,,,,Undergraduate,IUB,,,,,,,,,,,
EAS-E423,EAS,E423,,,,,,Undergraduate,IUB,,,,,,,,,,,
EAS-E451,EAS,E451,,,,,,Undergraduate,IUB,,,,,,,,,,,
EAS-E488,EAS,E488,,,,,,Undergraduate,IUB,,,,,,,,,,,
EAS-X329,EAS,X329,,,,,,Undergraduate,IUB,,,,,,,,,,,
EAS-X420,EAS,X420,,,,,,Undergraduate,IUB,,,,,,,,,,,
EAS-X429,EAS,X429,,,,,,Undergraduate,IUB,,,,,,,,,,,
GEOG-G307,GEOG,G307,,,,,,Undergraduate,IUB,,,,,,,,,,,
GEOG-G315,GEOG,G315,,,,,,Undergraduate,IUB,,,,,,,,,,,
GEOG-G336,GEOG,G336,,,,,,Undergraduate,IUB,,,,,,,,,,,
GEOG-G338,GEOG,G338,,,,,,Undergraduate,IUB,,,,,,,,,,,
GEOG-G341,GEOG,G341,,,,,,Undergraduate,IUB,,,,,,,,,,,
GEOG-G350,GEOG,G350,,,,,,Undergraduate,IUB,,,,,,,,,,,
GEOG-G368,GEOG,G368,,,,,,Undergraduate,IUB,,,,,,,,,,,
GEOG-G405,GEOG,G405,,,,,,Undergraduate,IUB,,,,,,,,,,,
GEOG-G436,GEOG,G436,,,,,,Undergraduate,IUB,,,,,,,,,,,
GEOG-G438,GEOG,G438,,,,,,Undergraduate,IUB,,,,,,,,,,,
GEOG-G439,GEOG,G439,,,,,,Undergraduate,IUB,,,,,,,,,,,
GEOG-G444,GEOG,G444,,,,,,Undergraduate,IUB,,,,,,,,,,,
GEOG-G451,GEOG,G451,,,,,,Undergraduate,IUB,,,,,,,,,,,
GEOG-G452,GEOG,G452,,,,,,Undergraduate,IUB,,,,,,,,,,,
GEOG-G453,GEOG,G453,,,,,,Undergraduate,IUB,,,,,,,,,,,
GEOG-G481,GEOG,G481,,,,,,Undergraduate,IUB,,,,,,,,,,,
