course_id,subject,catalog_number,title,description,credits_min,credits_max,gened_attributes,career,campus,term,component,class_number,instructor_name,meeting_days,meeting_start,meeting_end,location,prereq_text,coreq_text,notes
CSCI-C211,CSCI,C211,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-C212,CSCI,C212,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-C343,CSCI,C343,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-Y390,CSCI,Y390,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I123,INFO,I123,,,,,,Undergraduate,IUB,,,,,,,,,,,
COGS-Q260,COGS,Q260,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-A201,CSCI,A201,,,,,,Undergraduate,IUB,,,,,,,,,,,
COGS-Q320,COGS,Q320,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I399,INFO,I399,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-A216,CSCI,A216,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I303,INFO,I303,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I310,INFO,I310,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I330,INFO,I330,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I441,INFO,I441,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I453,INFO,I453,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I487,INFO,I487,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I488,INFO,I488,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-A110,CSCI,A110,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I245,INFO,I245,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I246,INFO,I246,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I311,INFO,I311,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I389,INFO,I389,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I390,INFO,I390,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I391,INFO,I391,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-A202,CSCI,A202,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-A338,CSCI,A338,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-A321,CSCI,A321,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-A348,CSCI,A348,,,,,,Undergraduate,IUB,,,,,,,,,,,
ILS-Z115,ILS,Z115,,,,,,Undergraduate,IUB,,,,,,,,,,,
CJUS-P407,CJUS,P407,,,,,,Undergraduate,IUB,,,,,,,,,,,
GEOG-G237,GEOG,G237,,,,,,Undergraduate,IUB,,,,,,,,,,,
INTL-I210,INTL,I210,,,,,,Undergraduate,IUB,,,,,,,,,,,
INTL-L250,INTL,L250,,,,,,Undergraduate,IUB,,,,,,,,,,,
MSCH-C206,MSCH,C206,,,,,,Undergraduate,IUB,,,,,,,,,,,
POLS-Y311,POLS,Y311,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-J202,SPEA,J202,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-J101,SPEA,J101,,,,,,Undergraduate,IUB,,,,,,,,,,,
ILS-Z311,ILS,Z311,,,,,,Undergraduate,IUB,,,,,,,,,,,
ILS-Z331,ILS,Z331,,,,,,Undergraduate,IUB,,,,,,,,,,,
ILS-Z351,ILS,Z351,,,,,,Undergraduate,IUB,,,,,,,,,,,
ILS-Z399,ILS,Z399,,,,,,Undergraduate,IUB,,,,,,,,,,,
INTL-I422,INTL,I422,,,,,,Undergraduate,IUB,,,,,,,,,,,
POLS-Y360,POLS,Y360,,,,,,Undergraduate,IUB,,,,,,,,,,,
POLS-Y368,POLS,Y368,,,,,,Undergraduate,IUB,,,,,,,,,,,
POLS-Y209,POLS,Y209,,,,,,Undergraduate,IUB,,,,,,,,,,,
POLS-Y239,POLS,Y239,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-J324,SPEA,J324,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V272,SPEA,V272,,,,,,Undergraduate,IUB,,,,,,,,,,,
ENGR-E101,ENGR,E101,,,,,,Undergraduate,IUB,,,,,,,,,,,
ENGR-E110,ENGR,E110,,,,,,Undergraduate,IUB,,,,,,,,,,,
ENGR-E210,ENGR,E210,,,,,,Undergraduate,IUB,,,,,,,,,,,
ENGR-E221,ENGR,E221,,,,,,Undergraduate,IUB,,,,,,,,,,,
ENGR-E222,ENGR,E222,,,,,,Undergraduate,IUB,,,,,,,,,,,
ENGR-E225,ENGR,E225,,,,,,Undergraduate,IUB,,,,,,,,,,,
ENGR-E250,ENGR,E250,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I130,INFO,I130,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I230,INFO,I230,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I231,INFO,I231,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-C231,CSCI,C231,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I430,INFO,I430,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-B430,CSCI,B430,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I433,INFO,I433,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-B433,CSCI,B433,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-S433,BUS,S433,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I424,INFO,I424,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I435,INFO,I435,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-C292,CSCI,C292,,,,,,Undergraduate,IUB,,,,,,,,,,,
MSCH-G310,MSCH,G310,,,,,,Undergraduate,IUB,,,,,,,,,,,
MSCH-G320,MSCH,G320,,,,,,Undergraduate,IUB,,,,,,,,,,,
